#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
17559587045400,1.3353547,0.58300537,0.80326754,0.4205176352830837,-0.06341301958786412,0.8993420251127345,0.10162494393011022
17559620836800,1.3259563,0.58461684,0.7887899,0.41259857252543763,-0.06091988519174958,0.9030299043776503,0.10289886946845789
17559653491900,1.3174441,0.58587253,0.7751055,0.4051693443668756,-0.05908172234231246,0.9062329972923876,0.1053038797425697
17559685803800,1.3086396,0.58713144,0.7604825,0.3963436596719378,-0.05778772829920483,0.9097953240512785,0.10883358962333985
17559719024200,1.3086396,0.58713144,0.7604825,0.3963436596719378,-0.05778772829920483,0.9097953240512785,0.10883358962333985
17559752182200,1.2994276,0.5883251,0.7441108,0.3848774038784769,-0.05718686528291898,0.9141572558502339,0.11364663655052523
17559785591800,1.2936314,0.58908623,0.7327535,0.37642534817495227,-0.056868866811301426,0.9172438281293984,0.11719065234689685
17559818575900,1.2936314,0.58908623,0.7327535,0.37642534817495227,-0.056868866811301426,0.9172438281293984,0.11719065234689685
17559851266700,1.2880114,0.5908956,0.7209235,0.3675293904521904,-0.05720038708351182,0.920531644459698,0.11946444835038472
17559883962500,1.2849315,0.59281766,0.71409446,0.36239863739262057,-0.05708502910045449,0.9225255861156871,0.11981264553660421
17559916915600,1.2849315,0.59281766,0.71409446,0.36239863739262057,-0.05708502910045449,0.9225255861156871,0.11981264553660421
17559951072800,1.2820505,0.59531593,0.7075859,0.3572632061020778,-0.05592429352963755,0.9247521339526158,0.11861267094606165
17559982854600,1.2814375,0.59746563,0.7024521,0.3546174471848989,-0.05617407204618264,0.9259927195695435,0.11674083726792674
17560016498700,1.2814375,0.59746563,0.7024521,0.3546174471848989,-0.05617407204618264,0.9259927195695435,0.11674083726792674
17560051581800,1.2795357,0.59699064,0.70024675,0.3527523421504603,-0.05827185969276721,0.9270632252522131,0.11280049583346544
17560082034000,1.2796022,0.59647137,0.6995028,0.35274046520166324,-0.06080606697095501,0.9271566785878865,0.11071259990947956
17560115882400,1.2796022,0.59647137,0.6995028,0.35274046520166324,-0.06080606697095501,0.9271566785878865,0.11071259990947956
17560147821700,1.280345,0.5959937,0.69973296,0.35401556494273084,-0.06536413113049384,0.9265382454295057,0.10921259037422278
17560181307900,1.2809073,0.59604985,0.70090526,0.3560671937871823,-0.06752435140429638,0.92580460242863,0.10743581152444678
17560213873500,1.2809073,0.59604985,0.70090526,0.3560671937871823,-0.06752435140429638,0.92580460242863,0.10743581152444678
17560246974200,1.2818096,0.5953284,0.7031637,0.35830985572365026,-0.07017510027635562,0.9249091825031956,0.10598352095382886
17560280020700,1.281996,0.59482485,0.7054417,0.3591483582378013,-0.07129114779823548,0.9247805035984161,0.10349419879859031
17560312961900,1.281996,0.59482485,0.7054417,0.3591483582378013,-0.07129114779823548,0.9247805035984161,0.10349419879859031
17560345936200,1.2815285,0.5947619,0.7081257,0.3597456064911609,-0.07351132915762845,0.9244824248878206,0.10252526112778586
17560378940500,1.2804394,0.5951666,0.71013385,0.360811617878707,-0.07540192984059876,0.9238573157343064,0.10303972799006028
17560411892100,1.2804394,0.5951666,0.71013385,0.360811617878707,-0.07540192984059876,0.9238573157343064,0.10303972799006028
17560445081600,1.27806,0.5968398,0.7123039,0.36252304217635956,-0.07729483690006597,0.9228488933060152,0.10465405966159498
17560477948300,1.27806,0.5968398,0.7123039,0.36252304217635956,-0.07729483690006597,0.9228488933060152,0.10465405966159498
17560511155800,1.2746549,0.5986978,0.7140604,0.36257527160519787,-0.07709682305536589,0.9229129908737883,0.10405221560152095
17560543908800,1.2709221,0.59967095,0.7153008,0.36109373903250785,-0.07554225951943136,0.9236516321941177,0.10378988873374982
17560576973000,1.2709221,0.59967095,0.7153008,0.36109373903250785,-0.07554225951943136,0.9236516321941177,0.10378988873374982
17560611400600,1.2652937,0.5995781,0.71570545,0.35754033630587745,-0.07380602729322212,0.9249771719923536,0.10552160699354494
17560643031000,1.2652937,0.5995781,0.71570545,0.35754033630587745,-0.07380602729322212,0.9249771719923536,0.10552160699354494
17560676054800,1.2559959,0.5977776,0.7139015,0.35038234220809306,-0.07236951864072828,0.9274150421646512,0.1090697327732045
